Ano,Coluna_Kaggle,Coluna_Sugerida
2015,SEX,SEX
2015,MARITAL,MARITAL
2015,EDUCA,EDUCA
2015,EMPLOY1,EMPLOY1
2015,INCOME2,INCOME2
2015,GENHLTH,GENHLTH
2015,PHYSHLTH,PHYSHLTH
2015,MENTHLTH,MENTHLTH
2015,POORHLTH,POORHLTH
2015,HLTHPLN1,HLTHPLN1
2015,CHECKUP1,CHECKUP1
2015,BPHIGH4,BPHIGH4
2015,TOLDHI2,TOLDHI2
2015,CVDSTRK3,CVDSTRK3
2015,CHCSCNCR,CHCSCNCR
2015,CHCOCNCR,CHCOCNCR
2015,CHCCOPD1,CHCCOPD1
2015,HAVARTH3,HAVARTH3
2015,ADDEPEV2,ADDEPEV2
2015,CHCKIDNY,CHCKIDNY
2015,DIFFWALK,DIFFWALK
2016,SEX,SEX
2016,MARITAL,MARITAL
2016,EDUCA,EDUCA
2016,EMPLOY1,EMPLOY1
2016,INCOME2,INCOME2
2016,GENHLTH,GENHLTH
2016,PHYSHLTH,PHYSHLTH
2016,MENTHLTH,MENTHLTH
2016,POORHLTH,POORHLTH
2016,HLTHPLN1,HLTHPLN1
2016,CHECKUP1,CHECKUP1
2016,BPHIGH4,
2016,TOLDHI2,
2016,CVDSTRK3,CVDSTRK3
2016,CHCSCNCR,CHCSCNCR
2016,CHCOCNCR,CHCOCNCR
2016,CHCCOPD1,CHCCOPD1
2016,HAVARTH3,HAVARTH3
2016,ADDEPEV2,ADDEPEV2
2016,CHCKIDNY,CHCKIDNY
2016,DIFFWALK,DIFFWALK
2017,SEX,SEX
2017,MARITAL,MARITAL
2017,EDUCA,EDUCA
2017,EMPLOY1,EMPLOY1
2017,INCOME2,INCOME2
2017,GENHLTH,GENHLTH
2017,PHYSHLTH,PHYSHLTH
2017,MENTHLTH,MENTHLTH
2017,POORHLTH,POORHLTH
2017,HLTHPLN1,HLTHPLN1
2017,CHECKUP1,CHECKUP1
2017,BPHIGH4,BPHIGH4
2017,TOLDHI2,TOLDHI2
2017,CVDSTRK3,CVDSTRK3
2017,CHCSCNCR,CHCSCNCR
2017,CHCOCNCR,CHCOCNCR
2017,CHCCOPD1,CHCCOPD1
2017,HAVARTH3,HAVARTH3
2017,ADDEPEV2,ADDEPEV2
2017,CHCKIDNY,CHCKIDNY
2017,DIFFWALK,DIFFWALK
2018,SEX,SEX1
2018,MARITAL,MARITAL
2018,EDUCA,EDUCA
2018,EMPLOY1,EMPLOY1
2018,INCOME2,INCOME2
2018,GENHLTH,GENHLTH
2018,PHYSHLTH,PHYSHLTH
2018,MENTHLTH,MENTHLTH
2018,POORHLTH,POORHLTH
2018,HLTHPLN1,HLTHPLN1
2018,CHECKUP1,CHECKUP1
2018,BPHIGH4,
