Ano,Coluna_Kaggle,Coluna_Sugerida
2015,BPHIGH4,BPHIGH4
2015,TOLDHI2,TOLDHI2
2015,CHOLCHK,CHOLCHK
2015,_BMI5,_BMI5
2015,_SMOKER3,_SMOKER3
2015,CVDSTRK3,CVDSTRK3
2015,CVDCRHD4,CVDCRHD4
2015,EXERANY2,EXERANY2
2015,_FRTLT1,_FRTLT1
2015,_VEGLT1,_VEGLT1
2015,_RFDRHV5,_RFDRHV5
2015,HLTHPLN1,HLTHPLN1
2015,MEDCOST,MEDCOST
2015,GENHLTH,GENHLTH
2015,MENTHLTH,MENTHLTH
2015,PHYSHLTH,PHYSHLTH
2015,DIFFWALK,DIFFWALK
2015,SEX,SEX
2015,_AGEG5YR,_AGEG5YR
2015,EDUCA,EDUCA
2015,INCOME2,INCOME2
2016,BPHIGH4,
2016,TOLDHI2,
2016,CHOLCHK,
2016,_BMI5,_BMI5
2016,_SMOKER3,_SMOKER3
2016,CVDSTRK3,CVDSTRK3
2016,CVDCRHD4,CVDCRHD4
2016,EXERANY2,EXERANY2
2016,_FRTLT1,
2016,_VEGLT1,
2016,_RFDRHV5,_RFDRHV5
2016,HLTHPLN1,HLTHPLN1
2016,MEDCOST,MEDCOST
2016,GENHLTH,GENHLTH
2016,MENTHLTH,MENTHLTH
2016,PHYSHLTH,PHYSHLTH
2016,DIFFWALK,DIFFWALK
2016,SEX,SEX
2016,_AGEG5YR,_AGEG5YR
2016,EDUCA,EDUCA
2016,INCOME2,INCOME2
2017,BPHIGH4,BPHIGH4
2017,TOLDHI2,TOLDHI2
2017,CHOLCHK,CHOLCHK1
2017,_BMI5,_BMI5
2017,_SMOKER3,_SMOKER3
2017,CVDSTRK3,CVDSTRK3
2017,CVDCRHD4,CVDCRHD4
2017,EXERANY2,EXERANY2
2017,_FRTLT1,_FRTLT1A
2017,_VEGLT1,_VEGLT1A
2017,_RFDRHV5,_RFDRHV5
2017,HLTHPLN1,HLTHPLN1
2017,MEDCOST,MEDCOST
2017,GENHLTH,GENHLTH
2017,MENTHLTH,MENTHLTH
2017,PHYSHLTH,PHYSHLTH
2017,DIFFWALK,DIFFWALK
2017,SEX,SEX
2017,_AGEG5YR,_AGEG5YR
2017,EDUCA,EDUCA
2017,INCOME2,INCOME2
2018,BPHIGH4,
2018,TOLDHI2,
2018,CHOLCHK,
2018,_BMI5,_BMI5
2018,_SMOKER3,_SMOKER3
2018,CVDSTRK3,CVDSTRK3
2018,CVDCRHD4,CVDCRHD4
2018,EXERANY2,EXERANY2
2018,_FRTLT1,
2018,_VEGLT1,
2018,_RFDRHV5,_RFDRHV6
2018,HLTHPLN1,HLTHPLN1
2018,MEDCOST,MEDCOST
2018,GENHLTH,GENHLTH
2018,MENTHLTH,MENTHLTH
2018,PHYSHLTH,PHYSHLTH
2018,DIFFWALK,DIFFWALK
2018,SEX,SEX1
2018,_AGEG5YR,_AGEG5YR
2018,EDUCA,EDUCA
2018,INCOME2,INCOME2
2019,BPHIGH4,BPHIGH4
2019,TOLDHI2,TOLDHI2
2019,CHOLCHK,CHOLCHK2
2019,_BMI5,_BMI5
2019,_SMOKER3,_SMOKER3
2019,CVDSTRK3,CVDSTRK3
2019,CVDCRHD4,CVDCRHD4
2019,EXERANY2,EXERANY2
2019,_FRTLT1,_FRTLT1A
2019,_VEGLT1,_VEGLT1A
2019,_RFDRHV5,_RFDRHV7
2019,HLTHPLN1,HLTHPLN1
2019,MEDCOST,MEDCOST
2019,GENHLTH,GENHLTH
2019,MENTHLTH,MENTHLTH
2019,PHYSHLTH,PHYSHLTH
2019,DIFFWALK,DIFFWALK
2019,SEX,_SEX
2019,_AGEG5YR,_AGEG5YR
2019,EDUCA,EDUCA
2019,INCOME2,INCOME2
2020,BPHIGH4,
2020,TOLDHI2,
2020,CHOLCHK,
2020,_BMI5,_BMI5
2020,_SMOKER3,_SMOKER3
2020,CVDSTRK3,CVDSTRK3
2020,CVDCRHD4,CVDCRHD4
2020,EXERANY2,EXERANY2
2020,_FRTLT1,
2020,_VEGLT1,
2020,_RFDRHV5,_RFDRHV7
2020,HLTHPLN1,HLTHPLN1
2020,MEDCOST,MEDCOST
2020,GENHLTH,GENHLTH
2020,MENTHLTH,MENTHLTH
2020,PHYSHLTH,PHYSHLTH
2020,DIFFWALK,DIFFWALK
2020,SEX,_SEX
2020,_AGEG5YR,_AGEG5YR
2020,EDUCA,EDUCA
2020,INCOME2,INCOME2
2021,BPHIGH4,BPHIGH6
2021,TOLDHI2,TOLDHI3
2021,CHOLCHK,CHOLCHK3
2021,_BMI5,_BMI5
2021,_SMOKER3,_SMOKER3
2021,CVDSTRK3,CVDSTRK3
2021,CVDCRHD4,CVDCRHD4
2021,EXERANY2,EXERANY2
2021,_FRTLT1,_FRTLT1A
2021,_VEGLT1,_VEGLT1A
2021,_RFDRHV5,_RFDRHV7
2021,HLTHPLN1,_HLTHPLN
2021,MEDCOST,MEDCOST1
2021,GENHLTH,GENHLTH
2021,MENTHLTH,MENTHLTH
2021,PHYSHLTH,PHYSHLTH
2021,DIFFWALK,DIFFWALK
2021,SEX,_SEX
2021,_AGEG5YR,_AGEG5YR
2021,EDUCA,EDUCA
2021,INCOME2,INCOME3
2022,BPHIGH4,
2022,TOLDHI2,
2022,CHOLCHK,
2022,_BMI5,_BMI5
2022,_SMOKER3,_SMOKER3
2022,CVDSTRK3,CVDSTRK3
2022,CVDCRHD4,CVDCRHD4
2022,EXERANY2,EXERANY2
2022,_FRTLT1,
2022,_VEGLT1,
2022,_RFDRHV5,_RFDRHV8
2022,HLTHPLN1,_HLTHPLN
2022,MEDCOST,MEDCOST1
2022,GENHLTH,GENHLTH
2022,MENTHLTH,MENTHLTH
2022,PHYSHLTH,PHYSHLTH
2022,DIFFWALK,DIFFWALK
2022,SEX,_SEX
2022,_AGEG5YR,_AGEG5YR
2022,EDUCA,EDUCA
2022,INCOME2,INCOME3
2023,BPHIGH4,BPHIGH6
2023,TOLDHI2,TOLDHI3
2023,CHOLCHK,CHOLCHK3
2023,_BMI5,_BMI5
2023,_SMOKER3,_SMOKER3
2023,CVDSTRK3,CVDSTRK3
2023,CVDCRHD4,CVDCRHD4
2023,EXERANY2,EXERANY2
2023,_FRTLT1,
2023,_VEGLT1,
2023,_RFDRHV5,_RFDRHV8
2023,HLTHPLN1,_HLTHPL1
2023,MEDCOST,MEDCOST1
2023,GENHLTH,GENHLTH
2023,MENTHLTH,MENTHLTH
2023,PHYSHLTH,PHYSHLTH
2023,DIFFWALK,DIFFWALK
2023,SEX,_SEX
2023,_AGEG5YR,_AGEG5YR
2023,EDUCA,EDUCA
2023,INCOME2,INCOME3
